Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n_50V,100nF_0603,148.230000,-90.690000,90.000000,top
C2,100n_50V,100nF_0603,149.660000,-90.690000,90.000000,top
C3,100n_50V,100nF_0603,162.800000,-81.950000,180.000000,top
C4,100n_50V,100nF_0603,143.270000,-104.650000,180.000000,top
Con1,MiniPci,mpcie-full-card,153.137843,-69.267433,180.000000,top
Module1,REF?,E78-868LN22S,158.450000,-100.340000,0.000000,top
NTC1,NTCS0603E3103FMT,NTCS0603E3103FMT,148.310000,-97.480000,90.000000,top
P1,RF2-03E-T-00-50-G,RF2-03E-T-00-50-G,148.930000,-115.810000,180.000000,top
R1,10k,10k_0603,148.620000,-92.750000,180.000000,top
R2,4k7,4k7_0603,143.690000,-94.980000,-90.000000,top
R3,4k7,4k7_0603,145.090000,-94.990000,-90.000000,top
R4,4k7,4k7_0603,148.180000,-95.160000,0.000000,top
R5,4k7,4k7_0603,158.030000,-85.570000,0.000000,top
R6,0R,0R_0603,148.510000,-81.190000,90.000000,top
U1,DS18B20U,DS18B20U_MSOP-8_3x3mm_P0.65mm,162.840000,-84.570000,0.000000,top
U2,TCN75A,TCN75A_SOIC8,143.050000,-100.050000,180.000000,top
