"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U8";"IP4220CZ6_SOT457";1;"IP4220CZ6";;;
2;"U1";"DS18B20U_MSOP-8_3x3mm_P0.65mm";1;"DS18B20U";;;
3;"NTC1";"NTCS0603E3103FMT";1;"NTCS0603E3103FMT";;;
4;"Con1";"mpcie-full-card";1;"MiniPci";;;
5;"P1";"RF2-03E-T-00-50-G";1;"RF2-03E-T-00-50-G";;;
6;"Module1";"E78-868LN22S";1;"E78-868LN22S";;;
7;"C1,C2,C3,C4";"100nF_0603";4;"100n_50V";;;
8;"R1";"10k_0603";1;"10k";;;
9;"R2,R3,R4,R5";"4k7_0603";4;"4k7";;;
10;"U2";"TCN75A_SOIC8";1;"TCN75A";;;
11;"R6,R7,R8";"0R_0603";3;"0R";;;
12;"Con2";"TC2050-IDC-NL";1;"TC2050-IDC-NL";;;
